iter	Passed	Remaining
896	7581	870
897	7590	862
898	7598	853
899	7606	845
900	7615	836
901	7623	828
902	7632	819
903	7641	811
904	7650	803
905	7659	794
906	7668	786
907	7677	777
908	7686	769
909	7695	761
910	7704	752
911	7712	744
912	7721	735
913	7729	727
914	7737	718
915	7746	710
916	7754	701
917	7763	693
918	7771	684
919	7779	676
920	7788	668
921	7796	659
922	7804	651
923	7812	642
924	7821	634
925	7830	625
926	7839	617
927	7847	608
928	7857	600
929	7866	592
930	7875	583
931	7883	575
932	7892	566
933	7900	558
934	7908	549
935	7917	541
936	7927	532
937	7936	524
938	7945	516
939	7953	507
940	7961	499
941	7970	490
942	7978	482
943	7987	473
944	7996	465
945	8005	456
946	8014	448
947	8022	440
948	8031	431
949	8039	423
950	8047	414
951	8056	406
952	8065	397
953	8074	389
954	8082	380
955	8090	372
956	8099	363
957	8108	355
958	8117	347
959	8126	338
960	8135	330
961	8143	321
962	8152	313
963	8160	304
964	8168	296
965	8177	287
966	8185	279
967	8194	270
968	8203	262
969	8213	254
970	8222	245
971	8230	237
972	8238	228
973	8246	220
974	8255	211
975	8263	203
976	8272	194
977	8280	186
978	8289	177
979	8298	169
980	8306	160
981	8315	152
982	8324	143
983	8332	135
984	8341	127
985	8350	118
986	8359	110
987	8368	101
988	8377	93
989	8387	84
990	8396	76
991	8405	67
992	8414	59
993	8423	50
994	8432	42
995	8440	33
996	8448	25
997	8457	16
998	8465	8
999	8474	0
